field,scriptid_or_native,current_tab,current_group,proposed_tab,proposed_group,action,rationale
Kelvin,custitem_la_color_temperature,Item Details/XO,-,Specifications,Lighting,MOVE,223k
Lumens,custitem_la_light_output,Item Details/XO,-,Specifications,Lighting,MOVE,211k
CRI,custitem_la_cri,Item Details/XO,-,Specifications,Lighting,MOVE,197k
Voltage,custitem_la_voltage,Item Details/XO,-,Specifications,Lighting,MOVE,405k
Dimmable,custitem_la_dimmable,Custom,-,Specifications,Lighting,MOVE,183k
Material,custitem_la_material,Custom,-,Specifications,Materials,MOVE,398k
Safety Rating,custitem_la_safety_listing,Custom,-,Specifications,Ratings & Compliance,MOVE,ETL/UL
Location Rating,custitem_la_safety_rating,Custom,-,Specifications,Ratings & Compliance,MOVE,Damp/Wet
Prop 65,custitem_xo_prop65,Item Details/XO,-,Specifications,Ratings & Compliance,MOVE,
Prop 65 Description,custitem_xo_prop65_desc,Item Details/XO,-,Specifications,Ratings & Compliance,MOVE,
Title 20,custitem_xo_title20,Item Details/XO,-,Specifications,Ratings & Compliance,MOVE,
Title 24,custitem_xo_title24,Item Details/XO,-,Specifications,Ratings & Compliance,MOVE,
Spec Sheet Hyperlink,custitem_spec_sheet_link,Item Details/XO,-,Specifications,Documents,MOVE,214k; sourced by custcol_spec_sheet; XO-fed
Kelvin Bucket,custitem_xo_kelvin_bucket,Item Details/XO,-,-,-,HIDE (keep field),search facet
Lumens Bucket,custitem_xo_lumens_bucket,Item Details/XO,-,-,-,HIDE (keep field),search facet
Wattage Bucket,custitem_xo_wattage_bucket,Item Details/XO,-,-,-,HIDE (keep field),search facet
Voltage Bucket,custitem_xo_voltage_bucket,Item Details/XO,-,-,-,HIDE (keep field),search facet
Accounts group,-,Accounting,Accounts,Accounting,Accounts,KEEP,as-is
Tax Schedule,-,Tax,-,Accounting,Tax,MOVE,absorb the Tax tab
Tax Item Type,custitem_ste_item_taxitem_type,Tax,-,Accounting,Tax,MOVE,
OSS Tax Schedule,custitem_ste_oss_taxschedule,Tax,-,Accounting,Tax,MOVE,
Tax Schedule Coaching Text,custitem_ste_taxschedule_coachingtext,Tax,-,Accounting,Tax,MOVE,
Non-Taxable,custitem_tss_non_taxable,Custom,-,Accounting,Tax,MOVE,
Shopify Flag,custitem_fa_shopify_flag,Shopify,-,Integrations,Shopify,MOVE,
Shopify Store,custitem_shopify_store,Shopify,-,Integrations,Shopify,MOVE,
Sync Shopify,custitem_sync_shopify,Purchasing/Inventory,ungrouped,Integrations,Shopify,MOVE,today floats at the bottom of Purchasing
isonline,custitem_isonline,Shopify,-,Integrations,Shopify,MOVE,129 TRUE
List On Shopify Temporary Field,custitem_list_on_shopify_temporary_fie,Shopify,-,Integrations,Shopify,MOVE,retire when no longer temporary
Shopify Handle / Meta Title / Meta Description / Metafield 1 / Product Type / Requires Shipping / Tags,custitem_fa_shpfy_*,Shopify:Optional,-,Integrations,Shopify,MOVE,
Allow Shopify Backorders,custitem_fa_shpfy_backords,Shopify:Optional,-,Integrations,Shopify,MOVE,
Shopify Published At / Published Scope,custitem_fa_shpfy_pub_at / pubscope,Shopify:Not Common,-,Integrations,Shopify,MOVE,
Leaves Shopify Inventory,custitem_leaves_shopify_inventory,Custom,-,Integrations,Shopify,MOVE,Leaves Lighting store
XO Item ID,custitem7,Custom,-,Integrations,XO Sync,MOVE,
XO Last Changed,custitem_xo_last_changed,Item Details/XO,-,Integrations,XO Sync,MOVE,
XO Availability Changed,custitem_xo_availability_changed,Item Details/XO,-,Integrations,XO Sync,MOVE,
XO Catalog Changed,custitem_xo_catalog_changed,Item Details/XO,-,Integrations,XO Sync,MOVE,
XO Price Changed,custitem_xo_price_changed,Item Details/XO,-,Integrations,XO Sync,MOVE,
XO Keywords,custitem_xo_keywords,Item Details/XO,-,Integrations,XO Sync,MOVE,native Search Keywords is a web-store field - no web store
Last Posted to NetSuite Connector,custitemlastpostedtofarapp,Custom,-,Integrations,NetSuite Connector,MOVE,
NetSuite Connector Synced Items sublist,customrecord_fa_synced_items,Custom,-,Integrations,NetSuite Connector,MOVE,
Transactions sublist,-,Related Records,-,Related Records & Analytics,-,KEEP,
Item360 sublists (6),custsublist_atlas_core_*,Item360,-,Related Records & Analytics,-,MOVE,decision 4: valuable; lost in the tab strip; Item360 tab hidden
Communication sublists (5),-,Communication,-,Communication,-,KEEP,
System Information fields + sublists,-,System Information,-,System Information,-,KEEP,
Item URL (Zastro),custitem_zastro_image_url,Custom,-,-,-,HIDE -> RETIRE,1 populated; causes the 'Item URL (2)' label collision
Webstore Link,custitem_webstore_link,Item Details/XO,-,-,-,HIDE -> RETIRE,0 populated
# of Bulbs,custitem_no_of_bulbs,Custom,-,-,-,HIDE -> RETIRE,135 vs Number of Bulbs 482k
Manufacturer Warranty (Zastro),custitem_zastro_warranty,Custom,-,-,-,HIDE -> RETIRE,0 populated
UMAP (LA),custitem_la_umap,Custom,-,-,-,HIDE -> RETIRE,0 populated; XO UMAP replaces
Weight (LA grams) / Weight (odd),custitem_la_weight_grams / custitemcustitem_la_weight,Custom / XO,-,-,-,HIDE -> RETIRE,decision 6: native Item Weight is the only weight field
Item Image (Atlas),custitem_atlas_item_image,Custom,-,-,-,HIDE -> RETIRE,3 populated
Publish Item,custitem_publish_item,Custom,-,-,-,HIDE -> RETIRE,0 populated
EM Product,custitem_pr_em_product,Custom,-,-,-,HIDE,1 populated; read by pr_change_order_approve - confirm before retiring
Do Not Update,custitem_laitem_do_not_update,Custom,-,-,-,HIDE -> RETIRE,1 TRUE
Item Options,itemoptions,Custom,-,-,-,HIDE,native; unused
All other LA fields on Custom / Item Details (approx 95),custitem_la_*,Custom / Item Details/XO,-,-,-,HIDE -> INACTIVATE (Phase 5),per XO_Reference_Matrix.csv dispositions
Web Store tab (18 fields),-,Web Store,-,-,-,HIDE TAB,no NetSuite web store; 0 online / 0 descriptions / 0 keywords
Preferences tab (2 fields),-,Preferences,-,-,-,HIDE TAB,Offer Support is workflow-forced TRUE
Merchandise Hierarchy tab,-,Merchandise Hierarchy,-,-,-,HIDE TAB,feature not enabled
Hazmat/Dangerous Goods tab,-,Hazmat,-,-,-,HIDE TAB,not applicable
Item360 tab,-,Item360,-,-,-,HIDE TAB,sublists moved to Related Records & Analytics
Customer Part Number tab,-,Customer Part Number,-,-,-,HIDE TAB (verify),SCM bundle sublist; usage not SuiteQL-visible
Item Substitution tab,-,Item Substitution,-,-,-,HIDE TAB (verify),SCM bundle sublist; usage not SuiteQL-visible
Inventory Detail / Tax / Landed Cost Templates / Shopify tabs,-,various,-,-,-,HIDE TAB,absorbed
Custom tab,-,Custom,-,-,-,HIDE TAB,empty after moves + hides
